Date,TCS,INFY,WIPRO,HCLTECH,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,RELIANCE,ITC,MARUTI,SUNPHARMA,LT,BHARTIARTL,ADANIENT,JSWSTEEL,HINDALCO,BAJFINANCE
2025-12-15,3130.085693359375,1606.800048828125,255.15257263183594,1640.481689453125,996.0999755859375,1365.199951171875,950.1239624023438,1284.800048828125,436.260009765625,1556.199951171875,383.5915222167969,16415.0,1785.501708984375,4052.7158203125,2069.699951171875,2278.89990234375,1114.800048828125,847.8499755859375,1012.7000122070312
2025-12-16,3105.763916015625,1592.9000244140625,252.69601440429688,1609.016357421875,994.2999877929688,1366.0,944.1319580078125,1219.5999755859375,436.4800109863281,1542.300048828125,383.0194091796875,16354.0,1769.8037109375,4024.491455078125,2102.0,2247.89990234375,1082.5999755859375,837.1500244140625,998.4000244140625
2025-12-17,3118.0703125,1602.0,254.5677032470703,1612.231201171875,984.0,1352.4000244140625,958.5716552734375,1224.699951171875,434.6400146484375,1544.4000244140625,381.2077941894531,16398.0,1781.328857421875,4023.104736328125,2108.0,2232.5,1079.300048828125,848.7999877929688,999.5999755859375
2025-12-18,3179.11767578125,1626.800048828125,257.2095031738281,1618.4656982421875,979.7000122070312,1356.800048828125,960.2415771484375,1229.800048828125,432.9200134277344,1544.4000244140625,381.7798767089844,16329.0,1734.6322021484375,3992.107666015625,2092.0,2229.300048828125,1082.199951171875,856.7000122070312,1000.2999877929688
2025-12-19,3180.280517578125,1638.699951171875,257.7944030761719,1599.956787109375,985.5,1354.0999755859375,962.94287109375,1230.5999755859375,431.8999938964844,1565.0999755859375,382.399658203125,16414.0,1733.638671875,4034.097412109375,2097.699951171875,2239.0,1079.5999755859375,852.0,1008.2999877929688
2025-12-22,3221.8505859375,1689.5999755859375,265.8075256347656,1627.1357421875,987.7000122070312,1368.5,957.0491333007812,1233.199951171875,429.94000244140625,1575.4000244140625,383.9729309082031,16649.0,1758.3779296875,4033.008056640625,2147.60009765625,2263.5,1094.9000244140625,864.5499877929688,1007.7999877929688
2025-12-23,3207.41259765625,1668.300048828125,264.5694580078125,1636.48779296875,996.5999755859375,1363.0,954.691650390625,1225.0,432.5400085449219,1570.699951171875,388.40667724609375,16585.0,1744.567626953125,4019.539794921875,2122.89990234375,2248.800048828125,1096.800048828125,863.8499755859375,1011.4000244140625
2025-12-24,3216.1337890625,1663.4000244140625,261.31353759765625,1631.4219970703125,997.2000122070312,1359.800048828125,951.7938842773438,1226.300048828125,432.739990234375,1558.199951171875,387.6915588378906,16703.0,1725.7896728515625,4014.39013671875,2123.699951171875,2222.699951171875,1091.300048828125,864.4500122070312,1011.7000122070312
2025-12-26,3178.342529296875,1656.0999755859375,259.5978088378906,1617.978759765625,992.0999755859375,1350.4000244140625,949.1907348632812,1228.199951171875,432.8399963378906,1559.199951171875,385.3554992675781,16596.0,1708.402587890625,4008.15087890625,2105.39990234375,2229.89990234375,1094.4000244140625,872.9000244140625,1000.0
2025-12-29,3150.7255859375,1644.699951171875,257.58966064453125,1588.656494140625,991.7000122070312,1343.300048828125,947.962890625,1232.0,431.7200012207031,1545.5999755859375,383.8775634765625,16542.0,1706.1173095703125,3999.634033203125,2081.60009765625,2203.199951171875,1092.5999755859375,865.0,998.0
2025-12-30,3146.171630859375,1621.5999755859375,257.0145263671875,1573.4595947265625,990.9000244140625,1342.5,956.2141723632812,1246.0,430.5400085449219,1539.800048828125,381.9705810546875,16647.0,1709.0980224609375,4012.805419921875,2099.800048828125,2214.699951171875,1111.5999755859375,884.1500244140625,989.2999877929688
2025-12-31,3106.829833984375,1615.4000244140625,256.6538391113281,1581.350341796875,991.2000122070312,1342.9000244140625,964.8092651367188,1269.4000244140625,440.2200012207031,1570.4000244140625,384.25897216796875,16697.0,1708.6011962890625,4044.000732421875,2105.60009765625,2239.699951171875,1164.800048828125,886.7000122070312,986.7999877929688
2026-01-01,3127.37255859375,1629.800048828125,260.62139892578125,1592.2608642578125,991.1500244140625,1338.0,967.3140869140625,1274.4000244140625,443.55999755859375,1575.5999755859375,346.9295959472656,16708.0,1709.9921875,4100.35009765625,2110.39990234375,2260.0,1171.5,894.9500122070312,973.0999755859375
2026-01-02,3149.950439453125,1640.4000244140625,262.2298583984375,1597.8135986328125,1001.5999755859375,1355.4000244140625,981.2626953125,1266.9000244140625,439.0199890136719,1592.300048828125,333.77130126953125,16960.0,1716.84765625,4123.1279296875,2106.300048828125,2279.800048828125,1180.699951171875,925.7000122070312,990.4500122070312
2026-01-05,3116.423095703125,1606.4000244140625,256.6733093261719,1566.0560302734375,977.5,1371.5,987.7457885742188,1285.800048828125,438.17999267578125,1578.0999755859375,333.4376220703125,17155.0,1717.741943359375,4110.25341796875,2105.0,2279.5,1185.9000244140625,931.7000122070312,978.75
